15
1011#123456#Roberto Rodrigues#1500.00#0.5
1037#56789#Anderson Marques#630.00
2045#3456#Renato Rodrigues#1800.00#0.5
1033#45678#Guilherme Freitas#4700.00
2062#67890#Felipe Silva#280.00#0.5
1012#123456#Lucas Carvalho#1800.00
1038#56789#Anderson Pai do Lucas#4630.00#0.5
2046#3456#Gustavo Braga#10800.00
1034#45678#Guilherme Boulos#16700.00#0.5
2068#67890#David Luiz#22280.00
1013#123456#Pastor Roberto#5500.00#0.5
1039#56789#Anderson Freire#9730.00
2048#3456#Rodrigues james#10800.00#0.5
1000#45678#Guilherme Araujo#4000.00
2500#67890#Gustavo Silva#480.00#0.5
